id_localidad,localidad,total_mascotas,pct_caninos,pct_felinos,pct_peligrosos,pct_hembras,sub_red
1,Antonio Nariño,3680,58.3,41.7,3.6,53.9,Centro Oriente
2,Barrios Unidos,3479,60.2,39.8,2.7,49.6,Norte
3,Bosa,22619,56.4,43.6,4.1,58.5,Sur Occidente
4,Chapinero,3182,63.3,36.7,4.1,55.5,Norte
5,Ciudad Bolívar,26910,58.0,42.0,4.9,60.8,Sur
6,Engativá,19028,58.9,41.1,3.2,49.8,Norte
7,Fontibón,7766,60.7,39.3,3.5,52.2,Sur Occidente
8,Kennedy,22528,57.5,42.5,3.4,54.1,Sur Occidente
9,La Candelaria,1428,52.1,47.9,3.1,57.0,Centro Oriente
10,Los Mártires,2715,52.2,47.8,3.8,55.9,Centro Oriente
11,Puente Aranda,7768,60.4,39.6,3.3,51.4,Sur Occidente
12,Rafael Uribe,16014,51.1,48.9,3.4,58.5,Centro Oriente
13,San Cristóbal,15509,50.3,49.7,5.3,59.9,Centro Oriente
14,Santa Fé,3639,56.9,43.1,5.0,54.5,Centro Oriente
15,Suba,22602,57.0,43.0,2.8,53.2,Norte
16,Sumapaz,307,73.9,26.1,0.7,61.9,Sur
17,Teusaquillo,2509,73.4,26.6,2.3,48.1,Norte
18,Tunjuelito,14121,59.7,40.3,3.5,57.7,Sur
19,Usaquén,8863,56.2,43.8,2.8,54.3,Norte
20,Usme,23408,50.1,49.9,4.8,53.1,Sur
